page_id,url,page_title,domain,first_seen,last_seen,visit_count,status
2d6dbf1b0fcef63342bb669723f94a28,https://www.flashscore.com/match/football/inter-tnmMpaCE/lecce-boEfbzat/?mid=YaLBpxU1,Lecce U20 v Inter U20 LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:56:11.186890,2026-01-03T14:56:11.186890,1,active
1c9caf8a41db88e8ed6d5996ae297930,https://www.flashscore.com/match/football/mtarfa-MNiaRv7n/pieta-OI18Nast/?mid=OjX4gQUF,Pieta v Mtarfa LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:56:34.685826,2026-01-03T14:56:34.685826,1,active
59075141ea55fd91c19b9ac0f1dba3d3,https://www.flashscore.com/match/football/life-fc-8QBD04ph/phnom-penh-crown-65FkANOd/?mid=MTJmNEPj,Phnom Penh Crown v Life FC LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:56:42.859399,2026-01-03T14:56:42.859399,1,active
432da9ca95f2a585cbf5f99f2a777289,https://www.flashscore.com/match/football/svay-rieng-IHTx6E4O/visakha-4YJw843C/?mid=Ak0rqdnA,Svay Rieng v Visakha LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:56:44.663480,2026-01-03T14:56:44.663480,1,active
ab05e8db9af0797110406b9f56f8f6b1,https://www.flashscore.com/match/football/boeung-ket-MuJGOXzi/tiffy-army-pEK6LYCR/?mid=lzCZpIHc,Tiffy Army v Boeung Ket LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:57:02.382547,2026-01-03T14:57:02.382547,1,active
0583e88c7e0b3bfa13be039caae37c6b,https://www.flashscore.com/match/football/nairobi-united-6m8PWkft/shabana-YXH9gwV9/?mid=2XSZ0URP,Shabana v Nairobi United LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:57:30.734300,2026-01-03T14:57:30.734300,1,active
623e4c3bb615b4ae99ff9d88b6283f08,https://www.flashscore.com/match/football/pacos-ferreira-hxT1f5xa/penafiel-lGALDDtR/?mid=6TBweBYR,Penafiel v Pacos Ferreira LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:57:32.214889,2026-01-03T14:57:32.214889,1,active
6871fabac9377a7c3f9df00c6663635e,https://www.flashscore.com/match/football/academico-viseu-GrRgeTHo/sporting-cp-KKfzlNbq/?mid=4vl5bPNM,Sporting CP B v Academico Viseu LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:57:52.858055,2026-01-03T14:57:52.858055,1,active
c66ea8d184400dc8a135d5f22631e2a2,https://www.flashscore.com/match/football/ad-marco-09-StiY6qwD/braga-bBgvmsEk/?mid=vmDULXLi,Braga B v AD Marco 09 LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:58:11.640217,2026-01-03T14:58:11.640217,1,active
5f610836a3b9b6eec5b86ce2711cbdf3,https://www.flashscore.com/match/football/1-dezembro-CIOU9e3Q/santarem-WIUQdLG0/?mid=hOWjWWEG,Santarem v 1º Dezembro LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:58:18.867283,2026-01-03T14:58:18.867283,1,active
f9fb4e3f96df637ee500b4aa89d6cfb3,https://www.flashscore.com/match/football/trofense-CvPuKVY0/vitoria-guimaraes-M1Eg6VEA/?mid=8tKpIkLG,Trofense v Vitoria Guimaraes B LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:58:35.061325,2026-01-03T14:58:35.061325,1,active
3c4c338c41b32e1556a7aff2cb240948,https://www.flashscore.com/match/football/cacereno-EXTWwqkE/celta-vigo-GQPCyIeG/?mid=tQ8C2zdD,Cacereno v Celta Vigo B LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:58:55.384960,2026-01-03T17:30:22.303006,2,active
5cedba793c19a7fdbfae620a4398cdb1,https://www.flashscore.com/match/football/cf-talavera-W0xBI7Xo/guadalajara-WhhSCpFP/?mid=E7EoFDuJ,CF Talavera v Guadalajara LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:59:03.405524,2026-01-03T17:30:22.834478,2,active
66f5f099eafeb2733236ec7b35fead17,https://www.flashscore.com/match/football/arenteiro-lWjqRFF0/real-madrid-fyNss8GQ/?mid=8W0bQwlK,Real Madrid B v Arenteiro LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T14:59:21.122128,2026-01-03T17:30:22.286672,2,active
60dca6b95409cc6689754d2acd51f39e,https://www.flashscore.com/match/football/eldense-8WUSyF3F/ud-ibiza-rNW6jqw0/?mid=69FkPyP9,UD Ibiza v Eldense LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T17:30:22.688425,2026-01-03T17:30:22.688425,1,active
23c133f85a7a8d78e38f138fca6d20bd,https://www.flashscore.com/match/football/lazio-URcSl02h/napoli-69Dxbc61/?mid=nJVqatve,Lazio v Napoli LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T17:31:15.014865,2026-01-03T17:31:15.014865,1,active
5aaf3741102cefdc749070ed0c0b5fe4,https://www.flashscore.com/match/football/buriram-united-f-c-r3QHlQs7/prachuap-UcjkBSc4/?mid=dASfukBO,Prachuap v Buriram LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T17:31:15.371442,2026-01-03T17:31:15.371442,1,active
7c850f81495d82b0a7abbbaa2f010a40,https://www.flashscore.com/match/football/atalanta-UFGjrnma/latina-CrARgwBF/?mid=nFkWDTB5,Atalanta U23 v Latina LIVE 04/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T17:31:15.663602,2026-01-03T17:31:15.663602,1,active
